Category: All categories

Week,confus: (United States)
2019-10-20,79
2019-10-27,0
2019-11-03,64
2019-11-10,31
2019-11-17,47
2019-11-24,100
2019-12-01,31
2019-12-08,32
2019-12-15,33
2019-12-22,36
2019-12-29,0
2020-01-05,31
2020-01-12,44
2020-01-19,0
2020-01-26,30
2020-02-02,75
2020-02-09,30
2020-02-16,30
2020-02-23,0
2020-03-01,0
2020-03-08,29
2020-03-15,57
2020-03-22,42
2020-03-29,0
2020-04-05,55
2020-04-12,40
2020-04-19,40
2020-04-26,54
2020-05-03,27
2020-05-10,55
2020-05-17,28
2020-05-24,0
2020-05-31,0
2020-06-07,42
2020-06-14,29
2020-06-21,59
2020-06-28,30
2020-07-05,59
2020-07-12,0
2020-07-19,61
2020-07-26,0
2020-08-02,0
2020-08-09,30
2020-08-16,30
2020-08-23,43
2020-08-30,0
2020-09-06,29
2020-09-13,28
2020-09-20,57
2020-09-27,91
2020-10-04,31
2020-10-11,46
