카테고리: 모든 카테고리

주,pain: (미국)
2019-10-20,94
2019-10-27,91
2019-11-03,94
2019-11-10,92
2019-11-17,94
2019-11-24,89
2019-12-01,90
2019-12-08,89
2019-12-15,90
2019-12-22,93
2019-12-29,100
2020-01-05,96
2020-01-12,99
2020-01-19,96
2020-01-26,97
2020-02-02,94
2020-02-09,98
2020-02-16,99
2020-02-23,97
2020-03-01,92
2020-03-08,87
2020-03-15,80
2020-03-22,87
2020-03-29,86
2020-04-05,90
2020-04-12,87
2020-04-19,88
2020-04-26,89
2020-05-03,88
2020-05-10,90
2020-05-17,91
2020-05-24,92
2020-05-31,85
2020-06-07,90
2020-06-14,92
2020-06-21,95
2020-06-28,93
2020-07-05,93
2020-07-12,94
2020-07-19,98
2020-07-26,95
2020-08-02,93
2020-08-09,94
2020-08-16,92
2020-08-23,89
2020-08-30,89
2020-09-06,87
2020-09-13,88
2020-09-20,90
2020-09-27,89
2020-10-04,90
2020-10-11,95
