Category: All categories

Week,pleasure: (United States)
2019-10-20,85
2019-10-27,87
2019-11-03,83
2019-11-10,78
2019-11-17,86
2019-11-24,85
2019-12-01,74
2019-12-08,77
2019-12-15,80
2019-12-22,77
2019-12-29,75
2020-01-05,84
2020-01-12,84
2020-01-19,84
2020-01-26,80
2020-02-02,81
2020-02-09,92
2020-02-16,84
2020-02-23,88
2020-03-01,84
2020-03-08,83
2020-03-15,73
2020-03-22,82
2020-03-29,78
2020-04-05,79
2020-04-12,76
2020-04-19,81
2020-04-26,92
2020-05-03,89
2020-05-10,96
2020-05-17,92
2020-05-24,86
2020-05-31,79
2020-06-07,100
2020-06-14,96
2020-06-21,94
2020-06-28,92
2020-07-05,87
2020-07-12,94
2020-07-19,95
2020-07-26,89
2020-08-02,87
2020-08-09,89
2020-08-16,85
2020-08-23,84
2020-08-30,90
2020-09-06,85
2020-09-13,91
2020-09-20,90
2020-09-27,87
2020-10-04,82
2020-10-11,84
