카테고리: 모든 카테고리

주,sad: (미국)
2019-10-20,84
2019-10-27,85
2019-11-03,87
2019-11-10,86
2019-11-17,88
2019-11-24,78
2019-12-01,83
2019-12-08,87
2019-12-15,81
2019-12-22,76
2019-12-29,75
2020-01-05,85
2020-01-12,94
2020-01-19,96
2020-01-26,95
2020-02-02,90
2020-02-09,94
2020-02-16,89
2020-02-23,92
2020-03-01,90
2020-03-08,89
2020-03-15,86
2020-03-22,94
2020-03-29,93
2020-04-05,99
2020-04-12,95
2020-04-19,94
2020-04-26,96
2020-05-03,91
2020-05-10,88
2020-05-17,89
2020-05-24,88
2020-05-31,82
2020-06-07,80
2020-06-14,81
2020-06-21,86
2020-06-28,83
2020-07-05,79
2020-07-12,85
2020-07-19,81
2020-07-26,82
2020-08-02,81
2020-08-09,84
2020-08-16,87
2020-08-23,87
2020-08-30,91
2020-09-06,92
2020-09-13,100
2020-09-20,98
2020-09-27,90
2020-10-04,90
2020-10-11,82
