카테고리: 모든 카테고리

주,stress: (미국)
2019-10-20,94
2019-10-27,87
2019-11-03,92
2019-11-10,91
2019-11-17,95
2019-11-24,70
2019-12-01,96
2019-12-08,90
2019-12-15,78
2019-12-22,54
2019-12-29,59
2020-01-05,75
2020-01-12,80
2020-01-19,85
2020-01-26,89
2020-02-02,84
2020-02-09,92
2020-02-16,93
2020-02-23,96
2020-03-01,93
2020-03-08,80
2020-03-15,77
2020-03-22,83
2020-03-29,88
2020-04-05,87
2020-04-12,80
2020-04-19,88
2020-04-26,86
2020-05-03,86
2020-05-10,76
2020-05-17,77
2020-05-24,72
2020-05-31,71
2020-06-07,75
2020-06-14,76
2020-06-21,81
2020-06-28,75
2020-07-05,73
2020-07-12,73
2020-07-19,79
2020-07-26,75
2020-08-02,75
2020-08-09,75
2020-08-16,80
2020-08-23,82
2020-08-30,87
2020-09-06,87
2020-09-13,100
2020-09-20,100
2020-09-27,98
2020-10-04,95
2020-10-11,83
